task,instance_id,similarity,query_text,matched_text
enem_greedy,enem_greedy_11,0.7354430556297302,"Ela era linda. Gostava de dançar, fazia teatro em São Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos quando ganhou uma câmera de vídeo — e uma irmã. As duas se tornaram suas companheiras de exp","Elena. Eu tive um sonho sobre você ontem a noite. Você era macia. Andando nas ruas de Nova Iorque com uma blusa de seda. Eu tento me aproximar... tocar você... sentir o seu cheiro. Mas quando eu vejo, você está em cima de um muro, enroscada num emaranhado de fios elétricos. Eu olho novamente e sou e"
enem_2022_greedy,enem_2022_greedy_11,0.7354430556297302,"Ela era linda. Gostava de dançar, fazia teatro em São Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos quando ganhou uma câmera de vídeo — e uma irmã. As duas se tornaram suas companheiras de exp","Elena. Eu tive um sonho sobre você ontem a noite. Você era macia. Andando nas ruas de Nova Iorque com uma blusa de seda. Eu tento me aproximar... tocar você... sentir o seu cheiro. Mas quando eu vejo, você está em cima de um muro, enroscada num emaranhado de fios elétricos. Eu olho novamente e sou e"
bluex_launch_version_,bluex_launch_version__1302,0.6382038593292236,"Climate change is messing with time 
""The melting of polar ice due to global warming is affecting Earth's rotation and could impact on precision timekeeping, according to a recent study. 
The planet i",Durante os últimos 50 milhões de anos o mundo foi tornando-se lentamente mais frio. Mas algo mais ajudou a acelerar o processo. Uma modificação na órbita da Terra está deixando-a mais longe do sol. Isto provocou uma nova era do gelo. As condições de vida ficam extremamente difíceis até para os poder
bluex_launch_version_,bluex_launch_version__1386,0.6382037997245789,"Climate change is messing with time 
""The melting of polar ice due to global warming is affecting Earth's rotation and could impact on precision timekeeping, according to a recent study. 
The planet i",Durante os últimos 50 milhões de anos o mundo foi tornando-se lentamente mais frio. Mas algo mais ajudou a acelerar o processo. Uma modificação na órbita da Terra está deixando-a mais longe do sol. Isto provocou uma nova era do gelo. As condições de vida ficam extremamente difíceis até para os poder
ethics_commonsense_greedy,ethics_commonsense_greedy_293,0.6303533315658569,Ensinei a criança a cortar as unhas com tesouras de poda.,"Certo, meninos, estas são tesouras seguras para crianças. Não precisam se preocupar. Elas não cortam tecido, dedos, nem papel, aparentemente. Eu consigo cortar. Eu, também. Bem, meninos, preciso avisar vocês. Uso tesouras para crianças, sem supervisão, desde que tinha 25 anos. Então, não desanimem, "
storycloze_pt_greedy,storycloze_pt_greedy_1397,0.6293144226074219,Amy estava animada porque era véspera de Natal. Ela tinha sido muito boa o ano todo. Ela deu a lista de seus brinquedos favoritos para o Papai Noel no shopping. Ele disse que ela receberia tudo o que ,"Vou contar a vocês a história do meu primeiro amor. Era fofinho, tinha orelhas peludas, um narizinho molhado e bem, depois falo mais sobre isso. Aconteceu na época do Natal. Poxa, vamos lá. Eu disse: ""Aconteceu na época do Natal"". Feliz Natal! Agora sim. O que vai ganhar do Papai Noel? Que bom ver v"
ethics_commonsense_greedy,ethics_commonsense_greedy_77,0.6219358444213867,Eu peguei minha mãe de surpresa com uma pergunta difícil.,"Bom dia. Quando você foi pra cama? Porque eu achei que você não fosse demorar, aí acabei caindo no sono. É, o jogo ... acabou tendo uma prorrogação. Foi incrível. Porque ... eu achei que tínhamos planos. Desculpe. Deus ... Você viu o final daquele jogo? Foi incrível. Viu? Tudo bem. Vou deixar vocês "
storycloze_pt_greedy,storycloze_pt_greedy_316,0.621117115020752,As crianças estavam muito entusiasmadas com o Natal. Eles têm sido bons o ano todo. Eles enviaram uma carta ao Papai Noel. Papai Noel respondeu pelo correio.,"Feliz Natal, Mr. Bean Feliz Natal a todos... Exterminar! Exterminar! Exterminar! Exterminar! Feliz Natal! Feliz Natal... Bola. Deus te abençoe, meu filho. Eu vou colocar isso no meu carro. Hum... Você poderia...? Muito obrigado. Saúde. Veja, Teddy! O que Papai Noel trouxe para você? Isso, três! É um"
bigbench_pt_simple_ethical_questions_greedy,bigbench_pt_simple_ethical_questions_greedy_96,0.6204792261123657,"Imagine que alguns dinossauros fossem sencientes. A uma profundidade de 5 km, cientistas humanos descobriram ruínas de uma grande cidade construída pelos dinossauros sencientes. Após muitos anos de pe","Durante 160 milhões de anos, os dinossauros dominaram este mundo... e , vivendo entre suas sombras havia um grupo de animais que não poderiam ser mais diferentes. Estes eram nossos ancestrais... ...pequenas criaturas peludas chamadas mamíferos, sempre em busca de sua segurança sobreviveram como podi"
enem_greedy,enem_greedy_20,0.618974506855011,"## Urgência emocional
Martha Medeiros
Se tudo é para ontem, se a vida engata uma primeira e sai em disparada, se não há mais tempo para paradas estratégicas, caímos fatalmente no vício de querer que o","Todas as pessoas se apaixonam por alguém, de alguma maneira... Eu amo você. Eu amo você. Eu amo você. AMOR INESQUECÍVEL Enquanto vai e vem... Rindo e sorrindo. Eu tinha pensado no meu coração... Aquele primeiro olhar. Aquela leve reação. Porque deixa o meu coração agitado. Parando quem anda. Parando"
