top1_doc_id,overlap_hits,distinct_tasks,mean_similarity,example_preview
68,192,21,0.8629673266162475,"NÃO É PERMITIDO CÃES SUPERANDO O PASSADO Vamos lá pessoal! Prestem atenção! Aqui, bate, bate, bate! Olha aquele cachorro! Onde ele está indo? Tudo bem, meu jovem, vamos embora. Vamos. Ok, então abra seus cadernos. Eu que"
662,157,22,0.8605021974843019,"Oi, pessoal. O que estão fazendo? Lição de casa. Sei. Vocês estavam se beijando. Uau, nada passa desapercebido por você. Na escola, aprendemos que a saliva tem milhões de germes. Bem, Michelle, quando se beija alguém, nã"
929,131,21,0.859002556509644,﻿1 >> Ben! Você deve destruir tudo em >> Ben! Você deve destruir tudo em minha loja? Você deve destruir tudo em minha loja? >> Ben: Foi um acidente. Minha loja? >> Ben: Foi um acidente. Eu juro que nunca vai acontecer >>
553,97,11,0.8620667082747233,"Anteriormente... Aliás, isso foi devagar e simples. Não acho que deva fazê-lo. Por que não? A maioria dos atletas é de idiotas narcisistas. Me chamaram para ser treinador interino. Parabéns. Se meu emprego não parece com"
52,92,12,0.8575858104488124,"Anuncie seu produto ou marca aqui Bom dia, colega de casa. Bom dia, colega de casa. Vou ao mercado mais tarde. Quer mais maçãs? Não, mas precisamos de mais papel higiênico. Sem problemas. Posso? Sem problemas. Angel Fluf"
814,86,6,0.8662348590617956,"﻿1 1x01 - Pás são pra cavar Merda, merda, merda merdosa, porra! Ah, tetinha de Jesus, porra. Olá senhor, com licença. Tem horas? 4:20. Da hora. Hoje, eu estava dirigindo por aí no meu carro, e quando digo ""carro"", falo d"
614,85,17,0.8567236185073852,"Então, se eu puder ter a atenção de vocês nos gráficos, podem ver que dos nosso estoque inicial de 1.000 Kg de cocaína Espere, idiota, nós tínhamos uma tonelada de cocaína. Não, nós... Bem, nós tínhamos uma, uma tonelada"
421,76,10,0.8620937615633011,"No episódio anterior... Você precisa de ajuda. Não vai superar o que aconteceu sozinho! Dá para esquecer isso, Grace! Ricky, eu quero me casar. E quer estudar em Nova York? Sim, tipo isso. Foi presente de casamento. Não "
851,73,4,0.864159347259835,"NOMES DE CELEBRIDADES SÃO USADOS COMO PARÓDIA Está vivo! WTFSubs Apresenta: ROBOT CHICKEN S08E16 ""Secret of the Flushed Footlong"" Estamos com sorte. O sujeito deixou sêmen no fundo da garganta. Sabe como dizem... Às veze"
415,66,10,0.8584442915338458,"Está você Não consigo acreditar. Desculpem-me, olá, isto é uma despedida de solteiras. Apenas mulheres. Obrigado. Está bem. Por que eles estão aqui, então? Se não para arruinar o casamento da Sophie. Mas pensei que não q"
337,61,13,0.8596324705686725,"Sr. Allen! Margarita! O que é isso? Pare! Pare! Desculpe! Estou bem no meio! Por favor, feche a porta! Tudo bem. É um erro honesto. Você está demitida. Vamos seguir em frente, e esquecer tudo. Espere, qual foi a antepenú"
344,60,12,0.859109898408254,"Devido a uma ordem da diretoria, hoje não teremos passe de bola. Vamos construir empatia. Sabe o que é empatia, Butt-Head? Tem a ver com passe de bola? Cale a boca! Empatia. Empatia é quando você sente o mesmo que alguém"
605,57,9,0.8607939356251767,"Ai minha Nossa Senhora! O presidente Ronald Reagan, meu héroi. Isso aí é o céu? Não é um simples céu, Ruckus, é um céu branco. Existem vários tipos de pessoas diferentes, Ruckus, então Deus criou vários céus separados ma"
44,56,13,0.8602957214627948,"OK. Manhã, colega de quarto. Manhã, colega de quarto. Eu vou ao mercado depois. Você precisa de mais maçãs? Não, mas precisamos de mais papel higiênico. Não prob. Posso? Não prob. Angel Fluff Plus, duas camadas Sem perfu"
646,55,8,0.8581454352899032,Anteriormente em Switched at Birth... Queremos você no grupo. Eu e minhas anotações adiantadas. Elas serão de grande ajuda. Eu quero muito te beijar. Sim. Seu pai e eu achamos que é hora de pagar seu seguro e celular. Nã
