task,total,overlapping,rate_pct,mean_similarity,ci_lower_pct,ci_upper_pct
enem_greedy,180,2,1.11,0.78,0.0,2.78
enem_2022_greedy,180,2,1.11,0.78,0.0,2.78
bigbench_pt_simple_ethical_questions_greedy,115,1,0.87,0.77,0.0,2.61
bluex_launch_version_,500,3,0.6,0.76,0.0,1.4
mina_br_greedy,500,2,0.4,0.78,0.0,1.0
assin_sts_greedy,500,1,0.2,0.78,0.0,0.6
mkqa_greedy,500,1,0.2,0.75,0.0,0.6
pt_hate_speech_greedy,500,1,0.2,0.78,0.0,0.6
assin_rte_greedy,500,1,0.2,0.78,0.0,0.6
storycloze_pt_greedy,500,1,0.2,0.79,0.0,0.6
arc_challenge_greedy_pt,500,0,0.0,0.75,0.0,0.0
agieval_sat_math_greedy,218,0,0.0,0.72,0.0,0.0
arc_easy_greedy_pt,500,0,0.0,0.75,0.0,0.0
bigbench_pt_formal_fallacies_syllogisms_negation_greedy,300,0,0.0,0.78,0.0,0.0
bigbench_pt_empirical_judgments_greedy,39,0,0.0,0.75,0.0,0.0
balanced_copa_greedy,300,0,0.0,0.75,0.0,0.0
bigbench_pt_analogical_similarity_greedy,300,0,0.0,0.78,0.0,0.0
bigbench_pt_cause_and_effect_two_sentences_greedy,42,0,0.0,0.76,0.0,0.0
bigbench_pt_code_line_description_greedy,44,0,0.0,0.55,0.0,0.0
bigbench_pt_bbq_greedy,500,0,0.0,0.76,0.0,0.0
bigbench_pt_causal_judgment_greedy,190,0,0.0,0.76,0.0,0.0
broverbs_greedy,194,0,0.0,0.79,0.0,0.0
bigbench_pt_vitaminc_fact_verification_greedy,300,0,0.0,0.73,0.0,0.0
bigbench_pt_strategyqa_greedy,216,0,0.0,0.71,0.0,0.0
bigbench_pt_social_iqa_greedy,300,0,0.0,0.74,0.0,0.0
bigbench_pt_general_knowledge_greedy,14,0,0.0,0.74,0.0,0.0
bigbench_pt_mathematical_induction_greedy,68,0,0.0,0.72,0.0,0.0
broverbs_mc_greedy,27,0,0.0,0.76,0.0,0.0
ethics_commonsense_greedy,216,0,0.0,0.75,0.0,0.0
logiqa_greedy,300,0,0.0,0.78,0.0,0.0
inferbr_greedy,500,0,0.0,0.77,0.0,0.0
gsm8k_mc_greedy,300,0,0.0,0.75,0.0,0.0
faquad_greedy,500,0,0.0,0.76,0.0,0.0
math_mc_greedy,281,0,0.0,0.71,0.0,0.0
repro_greedy,500,0,0.0,0.77,0.0,0.0
tweetsentbr_greedy,500,0,0.0,0.77,0.0,0.0
wsc285_pt_greedy,285,0,0.0,0.8,0.0,0.0
OVERALL,11409,15,0.13,0.76,0.07,0.2
